id,gender,age
1,m,
2,f,
3,m,22
4,f,
5,m,
6,,24
7,f,
8,m,23
9,f,19
10,m,19
11,m,21
12,f,28
13,f,25
14,,
15,,21
16,m,
17,m,22
18,,22
19,f,29
20,f,27
21,m,27
22,m,38
23,f,
24,f,25
25,,19
26,m,22
27,m,24
28,m,20
29,m,
30,,
31,,38
32,m,23
33,f,20
34,f,35
35,m,22
36,f,21
37,m,
38,m,29
39,m,21
40,f,21
41,m,30
42,f,24
43,f,26
44,f,21
45,m,29
46,m,24
47,f,19
48,m,33
49,,
50,f,24
51,f,25
52,m,20
53,m,29
54,m,28
55,m,21
56,m,22
57,m,17
58,f,24
59,f,24
60,f,22
61,,
62,,26
63,f,22
64,m,21
65,m,35
66,f,20
67,m,36
68,,
69,m,23
70,f,
71,m,7
72,f,25
73,m,34
74,m,35
75,f,20
76,m,38
77,,
78,f,27
79,f,
80,,
81,f,34
82,f,20
83,f,19
84,m,18
85,f,18
86,f,27
87,f,18
88,m,25
89,f,27
90,m,20
91,f,27
92,m,30
93,m,20
94,m,22
95,f,4
96,f,25
97,m,
98,f,
99,f,22
100,m,21
101,m,29
102,m,
103,m,34
104,,
105,m,23
106,f,31
107,m,15
108,m,23
109,m,18
110,m,22
111,f,22
112,f,30
113,f,22
114,f,28
115,f,
116,f,24
117,m,21
118,f,19
119,f,21
120,f,23
121,f,
122,f,22
123,m,26
124,m,36
125,f,20
126,f,
127,m,19
128,m,23
129,,
130,f,21
131,f,21
132,m,28
133,,
134,m,30
135,m,
136,,26
137,m,19
138,m,22
139,m,
140,m,33
141,f,21
142,,
143,m,21
144,f,19
145,m,
146,,
147,m,
148,f,25
149,m,26
150,f,24
151,m,23
152,m,26
153,m,33
154,f,
155,m,
156,m,23
157,m,19
158,f,
159,m,20
160,m,19
161,,26
162,f,48
163,m,24
164,f,32
165,f,28
166,f,22
167,m,28
168,m,32
169,m,17
170,f,29
171,,
172,m,32
173,f,21
174,,
175,f,28
176,f,24
177,m,42
178,m,
179,m,28
180,m,20
181,f,19
182,f,22
183,m,
184,f,23
185,m,35
186,f,
187,m,18
188,m,23
189,m,22
190,m,26
191,m,
192,f,
193,m,30
194,f,
195,m,17
196,m,22
197,f,34
198,f,28
199,m,22
200,,
201,m,21
202,m,29
203,f,
204,f,22
205,m,26
206,f,27
207,m,29
208,m,21
209,f,27
210,m,42
211,m,24
212,m,21
213,f,55
214,,103
215,m,16
216,f,
217,m,23
218,m,
219,m,34
220,f,
221,m,21
222,f,23
223,m,27
224,f,
225,f,
226,m,30
227,m,
228,m,22
229,,
230,f,18
231,,
232,m,
233,m,25
234,f,20
235,,29
236,f,23
237,f,19
238,f,22
239,m,21
240,,
241,m,39
242,m,23
243,f,23
244,m,32
245,m,
246,m,22
247,m,19
248,m,26
249,m,25
250,m,21
251,f,24
252,m,31
253,f,22
254,f,20
255,m,36
256,m,23
257,f,18
258,f,75
259,f,21
260,m,31
261,,20
262,m,19
263,f,29
264,m,25
265,f,21
266,f,28
267,m,30
268,m,29
269,f,28
270,f,20
271,m,21
272,,
273,f,19
274,m,
275,f,
276,m,25
277,f,25
278,f,20
279,f,
280,,32
281,m,
282,m,49
283,m,22
284,f,23
285,m,
286,m,
287,f,20
288,m,
289,m,30
290,f,19
291,,39
292,f,22
293,f,21
294,m,26
295,f,21
296,m,28
297,f,29
298,f,18
299,m,20
300,m,24
301,f,22
302,f,22
303,m,21
304,m,25
305,m,
306,f,21
307,m,21
308,m,22
309,m,23
310,m,40
311,m,33
312,m,21
313,,
314,m,20
315,m,34
316,m,26
317,f,21
