First Model,Second Model,No. of common elements,Difference in availability,No. of diverging elements
0,1,120,45,0
0,2,120,79,0
0,3,120,121,0
0,4,120,289,0
0,5,120,826,0
0,6,118,109,2
0,7,120,173,0
0,8,120,218,0
0,9,120,270,0
0,10,120,516,0
0,11,120,1359,0
0,12,120,249,0
0,13,120,357,0
0,14,120,420,0
0,15,120,517,0
0,16,120,989,0
0,17,120,2765,0
0,18,120,532,0
0,19,120,822,0
0,20,120,1003,0
0,21,120,1358,0
0,22,120,3842,0
0,23,120,13750,0
0,24,120,8158,0
0,25,120,11804,0
0,26,120,13868,0
0,27,120,16685,0
0,28,120,21216,0
0,29,120,23409,0
0,30,120,22553,0
0,31,120,22997,0
0,32,120,23217,0
0,33,120,23442,0
0,34,120,23747,0
0,35,120,23854,0
1,2,165,34,0
1,3,165,76,0
1,4,165,244,0
1,5,165,781,0
1,6,158,64,7
1,7,165,128,0
1,8,165,173,0
1,9,165,225,0
1,10,165,471,0
1,11,165,1314,0
1,12,164,204,1
1,13,165,312,0
1,14,165,375,0
1,15,165,472,0
1,16,165,944,0
1,17,165,2720,0
1,18,165,487,0
1,19,165,777,0
1,20,165,958,0
1,21,165,1313,0
1,22,165,3797,0
1,23,165,13705,0
1,24,165,8113,0
1,25,165,11759,0
1,26,165,13823,0
1,27,165,16640,0
1,28,165,21171,0
1,29,165,23364,0
1,30,165,22508,0
1,31,165,22952,0
1,32,165,23172,0
1,33,165,23397,0
1,34,165,23702,0
1,35,165,23809,0
2,3,199,42,0
2,4,199,210,0
2,5,199,747,0
2,6,173,30,26
2,7,194,94,5
2,8,196,139,3
2,9,199,191,0
2,10,199,437,0
2,11,199,1280,0
2,12,192,170,7
2,13,197,278,2
2,14,199,341,0
2,15,199,438,0
2,16,199,910,0
2,17,199,2686,0
2,18,196,453,3
2,19,198,743,1
2,20,199,924,0
2,21,199,1279,0
2,22,199,3763,0
2,23,199,13671,0
2,24,198,8079,1
2,25,199,11725,0
2,26,199,13789,0
2,27,199,16606,0
2,28,199,21137,0
2,29,199,23330,0
2,30,198,22474,1
2,31,199,22918,0
2,32,199,23138,0
2,33,199,23363,0
2,34,199,23668,0
2,35,199,23775,0
3,4,241,168,0
3,5,241,705,0
3,6,193,12,36
3,7,223,52,18
3,8,231,97,10
3,9,239,149,2
3,10,241,395,0
3,11,241,1238,0
3,12,224,128,17
3,13,237,236,4
3,14,241,299,0
3,15,241,396,0
3,16,241,868,0
3,17,241,2644,0
3,18,237,411,4
3,19,240,701,1
3,20,241,882,0
3,21,241,1237,0
3,22,241,3721,0
3,23,241,13629,0
3,24,240,8037,1
3,25,241,11683,0
3,26,241,13747,0
3,27,241,16564,0
3,28,241,21095,0
3,29,241,23288,0
3,30,240,22432,1
3,31,241,22876,0
3,32,241,23096,0
3,33,241,23321,0
3,34,241,23626,0
3,35,241,23733,0
4,5,409,537,0
4,6,226,180,3
4,7,283,116,10
4,8,320,71,18
4,9,354,19,36
4,10,404,227,5
4,11,409,1070,0
4,12,317,40,52
4,13,368,68,41
4,14,388,131,21
4,15,403,228,6
4,16,409,700,0
4,17,409,2476,0
4,18,378,243,31
4,19,401,533,8
4,20,406,714,3
4,21,409,1069,0
4,22,409,3553,0
4,23,409,13461,0
4,24,401,7869,8
4,25,407,11515,2
4,26,408,13579,1
4,27,409,16396,0
4,28,409,20927,0
4,29,409,23120,0
4,30,408,22264,1
4,31,409,22708,0
4,32,409,22928,0
4,33,409,23153,0
4,34,409,23458,0
4,35,409,23565,0
5,6,229,717,0
5,7,293,653,0
5,8,338,608,0
5,9,390,556,0
5,10,622,310,14
5,11,931,533,15
5,12,367,577,2
5,13,473,469,4
5,14,530,406,10
5,15,609,309,28
5,16,865,163,81
5,17,946,1939,0
5,18,566,294,86
5,19,718,4,224
5,20,790,177,156
5,21,867,532,79
5,22,937,3016,9
5,23,946,12924,0
5,24,810,7332,136
5,25,902,10978,44
5,26,920,13042,26
5,27,929,15859,17
5,28,944,20390,2
5,29,946,22583,0
5,30,909,21727,37
5,31,932,22171,14
5,32,938,22391,8
5,33,940,22616,6
5,34,945,22921,1
5,35,946,23028,0
6,7,229,64,0
6,8,229,109,0
6,9,229,161,0
6,10,229,407,0
6,11,229,1250,0
6,12,226,140,3
6,13,229,248,0
6,14,229,311,0
6,15,229,408,0
6,16,229,880,0
6,17,229,2656,0
6,18,229,423,0
6,19,229,713,0
6,20,229,894,0
6,21,229,1249,0
6,22,229,3733,0
6,23,229,13641,0
6,24,229,8049,0
6,25,229,11695,0
6,26,229,13759,0
6,27,229,16576,0
6,28,229,21107,0
6,29,229,23300,0
6,30,229,22444,0
6,31,229,22888,0
6,32,229,23108,0
6,33,229,23333,0
6,34,229,23638,0
6,35,229,23745,0
7,8,293,45,0
7,9,293,97,0
7,10,293,343,0
7,11,293,1186,0
7,12,276,76,17
7,13,293,184,0
7,14,293,247,0
7,15,293,344,0
7,16,293,816,0
7,17,293,2592,0
7,18,289,359,4
7,19,293,649,0
7,20,293,830,0
7,21,293,1185,0
7,22,293,3669,0
7,23,293,13577,0
7,24,291,7985,2
7,25,293,11631,0
7,26,293,13695,0
7,27,293,16512,0
7,28,293,21043,0
7,29,293,23236,0
7,30,292,22380,1
7,31,293,22824,0
7,32,293,23044,0
7,33,293,23269,0
7,34,293,23574,0
7,35,293,23681,0
8,9,338,52,0
8,10,338,298,0
8,11,338,1141,0
8,12,299,31,39
8,13,331,139,7
8,14,337,202,1
8,15,338,299,0
8,16,338,771,0
8,17,338,2547,0
8,18,330,314,8
8,19,337,604,1
8,20,338,785,0
8,21,338,1140,0
8,22,338,3624,0
8,23,338,13532,0
8,24,335,7940,3
8,25,338,11586,0
8,26,338,13650,0
8,27,338,16467,0
8,28,338,20998,0
8,29,338,23191,0
8,30,337,22335,1
8,31,338,22779,0
8,32,338,22999,0
8,33,338,23224,0
8,34,338,23529,0
8,35,338,23636,0
9,10,390,246,0
9,11,390,1089,0
9,12,323,21,46
9,13,375,87,15
9,14,386,150,4
9,15,390,247,0
9,16,390,719,0
9,17,390,2495,0
9,18,374,262,16
9,19,387,552,3
9,20,390,733,0
9,21,390,1088,0
9,22,390,3572,0
9,23,390,13480,0
9,24,387,7888,3
9,25,390,11534,0
9,26,390,13598,0
9,27,390,16415,0
9,28,390,20946,0
9,29,390,23139,0
9,30,389,22283,1
9,31,390,22727,0
9,32,390,22947,0
9,33,390,23172,0
9,34,390,23477,0
9,35,390,23584,0
10,11,636,843,0
10,12,364,267,5
10,13,460,159,17
10,14,502,96,38
10,15,560,1,76
10,16,636,473,0
10,17,636,2249,0
10,18,501,16,135
10,19,579,306,57
10,20,615,487,21
10,21,632,842,4
10,22,636,3326,0
10,23,636,13234,0
10,24,601,7642,35
10,25,629,11288,7
10,26,635,13352,1
10,27,635,16169,1
10,28,636,20700,0
10,29,636,22893,0
10,30,628,22037,8
10,31,636,22481,0
10,32,636,22701,0
10,33,636,22926,0
10,34,636,23231,0
10,35,636,23338,0
11,12,369,1110,0
11,13,477,1002,0
11,14,540,939,0
11,15,637,842,0
11,16,1065,370,44
11,17,1467,1406,12
11,18,634,827,18
11,19,873,537,69
11,20,1008,356,115
11,21,1179,1,299
11,22,1448,2483,31
11,23,1479,12391,0
11,24,1162,6799,317
11,25,1365,10445,114
11,26,1414,12509,65
11,27,1444,15326,35
11,28,1476,19857,3
11,29,1479,22050,0
11,30,1406,21194,73
11,31,1459,21638,20
11,32,1467,21858,12
11,33,1471,22083,8
11,34,1477,22388,2
11,35,1479,22495,0
12,13,369,108,0
12,14,369,171,0
12,15,369,268,0
12,16,369,740,0
12,17,369,2516,0
12,18,368,283,1
12,19,369,573,0
12,20,369,754,0
12,21,369,1109,0
12,22,369,3593,0
12,23,369,13501,0
12,24,369,7909,0
12,25,369,11555,0
12,26,369,13619,0
12,27,369,16436,0
