,movie_id,movie_title,genres,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,n_ratings_test,average_ratings_test,n_ratings_train,average_ratings_train,ordered_id
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2687,3.9376628209899516,23762,3.9277628145778976,805
1,2,Jumanji (1995),Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1160,3.1995689655172415,10872,3.2089771891096395,138
2,3,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,757,3.154557463672391,7033,3.1499360159249252,1998
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,183,2.8551912568306013,1581,2.8611638203668566,1004
4,5,Father of the Bride Part II (1995),Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,725,3.057241379310345,6410,3.079719188767551,100
5,6,Heat (1995),Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1389,3.81317494600432,12307,3.812992605834078,205
6,7,Sabrina (1995),Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,825,3.3478787878787877,7239,3.3669705760464153,647
7,8,Tom and Huck (1995),Adventure|Children,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3.1588235294117646,814,3.1283783783783785,3035
8,9,Sudden Death (1995),Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,3.0040485829959516,2271,2.9960369881109643,1611
9,10,GoldenEye (1995),Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1703,3.432765707574868,15215,3.427801511666119,163
10,11,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1089,3.62396694214876,10150,3.684630541871921,10
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,231,2.6277056277056277,2031,2.5603151157065485,1922
12,13,Balto (1995),Animation|Children,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3.2681159420289854,691,3.186685962373372,3369
13,14,Nixon (1995),Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,392,3.441326530612245,3283,3.4386232104782213,752
