First Model,Second Model,No. of common elements,Difference in availability,No. of diverging elements
0,1,1085,356,0
0,2,1085,582,0
0,3,1085,931,0
0,4,1085,2151,0
0,5,1085,4306,0
0,6,1070,1576,15
0,7,1083,2156,2
0,8,1085,2506,0
0,9,1085,2942,0
0,10,1085,4330,0
0,11,1085,6297,0
0,12,1085,4022,0
0,13,1085,4556,0
0,14,1085,4859,0
0,15,1085,5225,0
0,16,1085,6462,0
0,17,1085,7849,0
0,18,1085,6437,0
0,19,1085,6826,0
0,20,1085,7070,0
0,21,1085,7363,0
0,22,1085,8167,0
0,23,1085,8914,0
0,24,1085,8307,0
0,25,1085,8542,0
0,26,1085,8681,0
0,27,1085,8845,0
0,28,1085,9207,0
0,29,1085,9453,0
0,30,1085,9041,0
0,31,1085,9127,0
0,32,1085,9201,0
0,33,1085,9267,0
0,34,1085,9426,0
0,35,1085,9523,0
1,2,1441,226,0
1,3,1441,575,0
1,4,1441,1795,0
1,5,1441,3950,0
1,6,1391,1220,50
1,7,1436,1800,5
1,8,1440,2150,1
1,9,1441,2586,0
1,10,1441,3974,0
1,11,1441,5941,0
1,12,1435,3666,6
1,13,1441,4200,0
1,14,1441,4503,0
1,15,1441,4869,0
1,16,1441,6106,0
1,17,1441,7493,0
1,18,1441,6081,0
1,19,1441,6470,0
1,20,1441,6714,0
1,21,1441,7007,0
1,22,1441,7811,0
1,23,1441,8558,0
1,24,1440,7951,1
1,25,1441,8186,0
1,26,1441,8325,0
1,27,1441,8489,0
1,28,1441,8851,0
1,29,1441,9097,0
1,30,1440,8685,1
1,31,1441,8771,0
1,32,1441,8845,0
1,33,1441,8911,0
1,34,1441,9070,0
1,35,1441,9167,0
2,3,1667,349,0
2,4,1667,1569,0
2,5,1667,3724,0
2,6,1573,994,94
2,7,1648,1574,19
2,8,1666,1924,1
2,9,1667,2360,0
2,10,1667,3748,0
2,11,1667,5715,0
2,12,1656,3440,11
2,13,1667,3974,0
2,14,1667,4277,0
2,15,1667,4643,0
2,16,1667,5880,0
2,17,1667,7267,0
2,18,1667,5855,0
2,19,1667,6244,0
2,20,1667,6488,0
2,21,1667,6781,0
2,22,1667,7585,0
2,23,1667,8332,0
2,24,1666,7725,1
2,25,1667,7960,0
2,26,1667,8099,0
2,27,1667,8263,0
2,28,1667,8625,0
2,29,1667,8871,0
2,30,1666,8459,1
2,31,1667,8545,0
2,32,1667,8619,0
2,33,1667,8685,0
2,34,1667,8844,0
2,35,1667,8941,0
3,4,2016,1220,0
3,5,2016,3375,0
3,6,1825,645,191
3,7,1966,1225,50
3,8,2006,1575,10
3,9,2015,2011,1
3,10,2016,3399,0
3,11,2016,5366,0
3,12,2000,3091,16
3,13,2016,3625,0
3,14,2016,3928,0
3,15,2016,4294,0
3,16,2016,5531,0
3,17,2016,6918,0
3,18,2016,5506,0
3,19,2016,5895,0
3,20,2016,6139,0
3,21,2016,6432,0
3,22,2016,7236,0
3,23,2016,7983,0
3,24,2015,7376,1
3,25,2016,7611,0
3,26,2016,7750,0
3,27,2016,7914,0
3,28,2016,8276,0
3,29,2016,8522,0
3,30,2015,8110,1
3,31,2016,8196,0
3,32,2016,8270,0
3,33,2016,8336,0
3,34,2016,8495,0
3,35,2016,8592,0
4,5,3236,2155,0
4,6,2336,575,325
4,7,2707,5,529
4,8,2900,355,336
4,9,3068,791,168
4,10,3233,2179,3
4,11,3236,4146,0
4,12,3113,1871,123
4,13,3197,2405,39
4,14,3221,2708,15
4,15,3235,3074,1
4,16,3236,4311,0
4,17,3236,5698,0
4,18,3232,4286,4
4,19,3235,4675,1
4,20,3236,4919,0
4,21,3236,5212,0
4,22,3236,6016,0
4,23,3236,6763,0
4,24,3234,6156,2
4,25,3236,6391,0
4,26,3236,6530,0
4,27,3236,6694,0
4,28,3236,7056,0
4,29,3236,7302,0
4,30,3235,6890,1
4,31,3236,6976,0
4,32,3236,7050,0
4,33,3236,7116,0
4,34,3236,7275,0
4,35,3236,7372,0
5,6,2615,2730,46
5,7,3166,2150,75
5,8,3486,1800,105
5,9,3870,1364,157
5,10,4917,24,474
5,11,5387,1991,4
5,12,4448,284,659
5,13,4778,250,613
5,14,4936,553,455
5,15,5093,919,298
5,16,5359,2156,32
5,17,5391,3543,0
5,18,5251,2131,140
5,19,5327,2520,64
5,20,5347,2764,44
5,21,5366,3057,25
5,22,5390,3861,1
5,23,5391,4608,0
5,24,5369,4001,22
5,25,5383,4236,8
5,26,5384,4375,7
5,27,5389,4539,2
5,28,5391,4901,0
5,29,5391,5147,0
5,30,5384,4735,7
5,31,5390,4821,1
5,32,5390,4895,1
5,33,5390,4961,1
5,34,5391,5120,0
5,35,5391,5217,0
6,7,2661,580,0
6,8,2661,930,0
6,9,2661,1366,0
6,10,2661,2754,0
6,11,2661,4721,0
6,12,2651,2446,10
6,13,2661,2980,0
6,14,2661,3283,0
6,15,2661,3649,0
6,16,2661,4886,0
6,17,2661,6273,0
6,18,2661,4861,0
6,19,2661,5250,0
6,20,2661,5494,0
6,21,2661,5787,0
6,22,2661,6591,0
6,23,2661,7338,0
6,24,2660,6731,1
6,25,2661,6966,0
6,26,2661,7105,0
6,27,2661,7269,0
6,28,2661,7631,0
6,29,2661,7877,0
6,30,2660,7465,1
6,31,2661,7551,0
6,32,2661,7625,0
6,33,2661,7691,0
6,34,2661,7850,0
6,35,2661,7947,0
7,8,3241,350,0
7,9,3241,786,0
7,10,3241,2174,0
7,11,3241,4141,0
7,12,3206,1866,35
7,13,3238,2400,3
7,14,3239,2703,2
7,15,3240,3069,1
7,16,3241,4306,0
7,17,3241,5693,0
7,18,3241,4281,0
7,19,3241,4670,0
7,20,3241,4914,0
7,21,3241,5207,0
7,22,3241,6011,0
7,23,3241,6758,0
7,24,3240,6151,1
7,25,3241,6386,0
7,26,3241,6525,0
7,27,3241,6689,0
7,28,3241,7051,0
7,29,3241,7297,0
7,30,3240,6885,1
7,31,3241,6971,0
7,32,3241,7045,0
7,33,3241,7111,0
7,34,3241,7270,0
7,35,3241,7367,0
8,9,3591,436,0
8,10,3591,1824,0
8,11,3591,3791,0
8,12,3522,1516,69
8,13,3580,2050,11
8,14,3588,2353,3
8,15,3590,2719,1
8,16,3591,3956,0
8,17,3591,5343,0
8,18,3591,3931,0
8,19,3591,4320,0
8,20,3591,4564,0
8,21,3591,4857,0
8,22,3591,5661,0
8,23,3591,6408,0
8,24,3590,5801,1
8,25,3591,6036,0
8,26,3591,6175,0
8,27,3591,6339,0
8,28,3591,6701,0
8,29,3591,6947,0
8,30,3590,6535,1
8,31,3591,6621,0
8,32,3591,6695,0
8,33,3591,6761,0
8,34,3591,6920,0
8,35,3591,7017,0
9,10,4027,1388,0
9,11,4027,3355,0
9,12,3903,1080,124
9,13,4001,1614,26
9,14,4020,1917,7
9,15,4025,2283,2
9,16,4027,3520,0
9,17,4027,4907,0
9,18,4025,3495,2
9,19,4027,3884,0
9,20,4027,4128,0
9,21,4027,4421,0
9,22,4027,5225,0
9,23,4027,5972,0
9,24,4026,5365,1
9,25,4027,5600,0
9,26,4027,5739,0
9,27,4027,5903,0
9,28,4027,6265,0
9,29,4027,6511,0
9,30,4026,6099,1
9,31,4027,6185,0
9,32,4027,6259,0
9,33,4027,6325,0
9,34,4027,6484,0
9,35,4027,6581,0
10,11,5415,1967,0
10,12,4746,308,361
10,13,5067,226,348
10,14,5200,529,215
10,15,5324,895,91
10,16,5415,2132,0
10,17,5415,3519,0
10,18,5379,2107,36
10,19,5408,2496,7
10,20,5412,2740,3
10,21,5414,3033,1
10,22,5415,3837,0
10,23,5415,4584,0
10,24,5412,3977,3
10,25,5415,4212,0
10,26,5415,4351,0
10,27,5415,4515,0
10,28,5415,4877,0
10,29,5415,5123,0
10,30,5414,4711,1
10,31,5415,4797,0
10,32,5415,4871,0
10,33,5415,4937,0
10,34,5415,5096,0
10,35,5415,5193,0
11,12,5083,2275,24
11,13,5597,1741,44
11,14,5878,1438,66
11,15,6206,1072,104
11,16,7102,165,280
11,17,7382,1552,0
11,18,6908,140,474
11,19,7106,529,276
11,20,7202,773,180
11,21,7289,1066,93
11,22,7372,1870,10
11,23,7382,2617,0
11,24,7304,2010,78
11,25,7348,2245,34
11,26,7357,2384,25
11,27,7369,2548,13
11,28,7382,2910,0
11,29,7382,3156,0
11,30,7363,2744,19
11,31,7374,2830,8
11,32,7377,2904,5
11,33,7378,2970,4
11,34,7382,3129,0
11,35,7382,3226,0
12,13,5107,534,0
12,14,5107,837,0
12,15,5107,1203,0
12,16,5107,2440,0
12,17,5107,3827,0
12,18,5105,2415,2
12,19,5107,2804,0
12,20,5107,3048,0
12,21,5107,3341,0
12,22,5107,4145,0
